Bundling 6%
Bundling 11%
Bundling 28%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 87%
Bundling 92%
Bundling 98%
Bundling 100%
Bundling 100%
Bundling 100%
Getting composition
Composition          ComponentShowcase
Codec                h264
Output               out/demo_vertical.mp4
Concurrency          2x
Rendered 0/16900
Rendered 138/16900, time remaining: 23m 56s
Rendered 139/16900, time remaining: 23m 56s
Rendered 140/16900, time remaining: 23m 54s
Rendered 141/16900, time remaining: 23m 58s
Rendered 142/16900, time remaining: 23m 55s
Rendered 143/16900, time remaining: 23m 55s
Rendered 144/16900, time remaining: 23m 59s
Rendered 145/16900, time remaining: 23m 54s
Rendered 146/16900, time remaining: 23m 57s
Rendered 147/16900, time remaining: 23m 55s
Rendered 148/16900, time remaining: 23m 56s
Rendered 149/16900, time remaining: 24m 7s
Rendered 150/16900, time remaining: 24m 0s
Rendered 151/16900, time remaining: 23m 6s
Rendered 152/16900, time remaining: 23m 8s
Rendered 153/16900, time remaining: 23m 2s
Rendered 154/16900, time remaining: 23m 8s
Rendered 155/16900, time remaining: 23m 10s
Rendered 156/16900, time remaining: 23m 19s
Rendered 157/16900, time remaining: 23m 16s
Rendered 158/16900, time remaining: 23m 15s
Rendered 159/16900, time remaining: 23m 21s
Rendered 160/16900, time remaining: 23m 25s
Rendered 161/16900, time remaining: 23m 18s
Rendered 162/16900, time remaining: 23m 25s
Rendered 163/16900, time remaining: 23m 30s
Rendered 164/16900, time remaining: 23m 28s
Rendered 165/16900, time remaining: 23m 36s
Rendered 166/16900, time remaining: 23m 31s
Rendered 167/16900, time remaining: 23m 27s
Rendered 168/16900, time remaining: 23m 35s
Rendered 169/16900, time remaining: 23m 31s
Rendered 170/16900, time remaining: 23m 36s
Rendered 171/16900, time remaining: 23m 31s
Rendered 172/16900, time remaining: 23m 27s
Rendered 173/16900, time remaining: 23m 32s
Rendered 174/16900, time remaining: 23m 30s
Rendered 175/16900, time remaining: 23m 36s
Rendered 176/16900, time remaining: 23m 29s
Rendered 177/16900, time remaining: 23m 24s
Rendered 178/16900, time remaining: 23m 35s
Rendered 179/16900, time remaining: 23m 39s
Rendered 180/16900, time remaining: 23m 37s
Rendered 181/16900, time remaining: 23m 37s
Rendered 182/16900, time remaining: 23m 36s
Rendered 183/16900, time remaining: 23m 36s
Rendered 184/16900, time remaining: 23m 40s
Rendered 185/16900, time remaining: 23m 37s
Rendered 186/16900, time remaining: 23m 42s
Rendered 187/16900, time remaining: 23m 42s
Rendered 188/16900, time remaining: 23m 36s
Rendered 189/16900, time remaining: 23m 40s
Rendered 190/16900, time remaining: 23m 38s
Rendered 191/16900, time remaining: 23m 44s
Rendered 192/16900, time remaining: 23m 42s
Rendered 193/16900, time remaining: 23m 44s
Rendered 194/16900, time remaining: 23m 49s
Rendered 195/16900, time remaining: 23m 38s
Rendered 196/16900, time remaining: 23m 45s
Rendered 197/16900, time remaining: 23m 48s
Rendered 198/16900, time remaining: 23m 47s
Rendered 199/16900, time remaining: 23m 55s
Rendered 200/16900, time remaining: 23m 47s
