Bundling 6%
Bundling 11%
Bundling 17%
Bundling 28%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 87%
Bundling 92%
Bundling 98%
Bundling 100%
Bundling 100%
Bundling 100%
Getting composition
Composition          ComponentShowcase
Codec                h264
Output               out/series/collapse-ecosystems.mp4
Concurrency          2x
Rendered 138/1310, time remaining: 6m 54s
Rendered 139/1310, time remaining: 6m 51s
Rendered 140/1310, time remaining: 6m 52s
Rendered 141/1310, time remaining: 6m 50s
Rendered 142/1310, time remaining: 6m 48s
Rendered 143/1310, time remaining: 6m 48s
Rendered 144/1310, time remaining: 6m 48s
Rendered 145/1310, time remaining: 6m 46s
Rendered 146/1310, time remaining: 6m 46s
Rendered 147/1310, time remaining: 6m 47s
Rendered 148/1310, time remaining: 6m 45s
Rendered 149/1310, time remaining: 6m 45s
Rendered 150/1310, time remaining: 6m 43s
Rendered 151/1310, time remaining: 6m 42s
Rendered 152/1310, time remaining: 6m 45s
Rendered 153/1310, time remaining: 6m 42s
Rendered 154/1310, time remaining: 6m 44s
Rendered 155/1310, time remaining: 6m 41s
Rendered 156/1310, time remaining: 6m 45s
Rendered 157/1310, time remaining: 6m 44s
Rendered 158/1310, time remaining: 6m 39s
Rendered 159/1310, time remaining: 6m 42s
Rendered 160/1310, time remaining: 6m 35s
Rendered 161/1310, time remaining: 6m 36s
Rendered 162/1310, time remaining: 6m 35s
Rendered 163/1310, time remaining: 6m 36s
Rendered 164/1310, time remaining: 6m 33s
Rendered 165/1310, time remaining: 6m 34s
Rendered 166/1310, time remaining: 6m 31s
Rendered 167/1310, time remaining: 6m 31s
Rendered 168/1310, time remaining: 6m 28s
Rendered 169/1310, time remaining: 6m 31s
Rendered 170/1310, time remaining: 6m 25s
Rendered 171/1310, time remaining: 6m 29s
Rendered 172/1310, time remaining: 6m 26s
Rendered 173/1310, time remaining: 6m 27s
Rendered 174/1310, time remaining: 6m 21s
Rendered 175/1310, time remaining: 6m 23s
Rendered 176/1310, time remaining: 6m 22s
